database_name	HMDB;LMSD
database_version	4.0;2020-09-08
83.953355478	CH2Cl2	HMDB:HMDB0031548
84.003370818	C4H4S	HMDB:HMDB0029718
84.021129369	C4H4O2	HMDB:HMDB0032330	HMDB:HMDB0094691
84.03236276	C3H4N2O	HMDB:HMDB0004363
84.057514878	C5H8O	HMDB:HMDB0001184	HMDB:HMDB0012157	HMDB:HMDB0031407	HMDB:HMDB0031512	HMDB:HMDB0031530	HMDB:HMDB0031601	HMDB:HMDB0031606	HMDB:HMDB0031607	HMDB:HMDB0032458	HMDB:HMDB0037788	HMDB:HMDB0040584	LMFA12000028	LMFA12000034	LMFA12000069
84.068748266	C4H8N2	HMDB:HMDB0061875
84.081324325	C5H10N	HMDB:HMDB0060253
84.093900384	C6H12	LMFA11000035	HMDB:HMDB0029597	HMDB:HMDB0031542
84.911789341	Rb	HMDB:HMDB0001327
84.998619791	C3H3NS	HMDB:HMDB0029713
85.052763851	C4H7NO	HMDB:HMDB0002039	HMDB:HMDB0060427
85.089149357	C5H11N	HMDB:HMDB0034301
85.9759745	ClH3O3	HMDB:HMDB0002036
86.019020882	C4H6S	HMDB:HMDB0033875	HMDB:HMDB0033922
86.036779436	C4H6O2	HMDB:HMDB0000549	HMDB:HMDB0002523	HMDB:HMDB0003407	HMDB:HMDB0010720	HMDB:HMDB0031209	HMDB:HMDB0033977	HMDB:HMDB0034439	LMFA01030004	LMFA01030194	LMFA01030195	LMFA01030925	LMFA07040004	LMFA12000012
86.073164942	C5H10O	HMDB:HMDB0006478	HMDB:HMDB0030124	HMDB:HMDB0030126	HMDB:HMDB0031206	HMDB:HMDB0031525	HMDB:HMDB0031526	HMDB:HMDB0031604	HMDB:HMDB0031605	HMDB:HMDB0033854	HMDB:HMDB0034235	HMDB:HMDB0034465	HMDB:HMDB0039779	LMFA05000103	LMFA05000105	LMFA05000106	LMFA05000107	LMFA05000110	LMFA06000251	LMFA12000001	LMFA12000003	LMFA12000024
86.08439833	C4H10N2	HMDB:HMDB0014730
86.096974389	C5H12N	HMDB:HMDB0059961
86.109550448	C6H14	LMFA11000007	HMDB:HMDB0029600	HMDB:HMDB0061884	HMDB:HMDB0061885
87.032028409	C3H5NO2	HMDB:HMDB0003609	HMDB:HMDB0039426
87.068413914	C4H9NO	HMDB:HMDB0001080	HMDB:HMDB0031215	HMDB:HMDB0031581	HMDB:HMDB0033870	HMDB:HMDB0142479	LMFA08010018
87.104799421	C5H13N	HMDB:HMDB0031659	HMDB:HMDB0032392
87.905614339	Sr	HMDB:HMDB0003642
88.016043989	C3H4O3	HMDB:HMDB0000243	HMDB:HMDB0011111	HMDB:HMDB0040261	HMDB:HMDB0062676	LMFA01060077
88.034670946	C4H8S	HMDB:HMDB0031653	HMDB:HMDB0039807	HMDB:HMDB0059843	HMDB:HMDB0061876
88.0524295	C4H8O2	HMDB:HMDB0000039	HMDB:HMDB0001873	HMDB:HMDB0003243	HMDB:HMDB0030062	HMDB:HMDB0031217	HMDB:HMDB0031507	HMDB:HMDB0040253	HMDB:HMDB0040579	LMFA01010004	LMFA01020071	LMFA07010410	LMFA12000020	LMFA12000064
88.063662888	C3H8N2O	HMDB:HMDB0029198
88.070826921	C4H12Si	HMDB:HMDB0094690
88.088815006	C5H12O	LMFA05000102	LMFA05000104	LMFA05000108	LMFA05000112	HMDB:HMDB0006007	HMDB:HMDB0013036	HMDB:HMDB0031527	HMDB:HMDB0031599	HMDB:HMDB0033772	HMDB:HMDB0033777	HMDB:HMDB0061749
88.100048394	C4H12N2	HMDB:HMDB0001414
88.905847902	Y	HMDB:HMDB0013667
89.011292961	C2H3NO3	HMDB:HMDB0143055
89.047678473	C3H7NO2	HMDB:HMDB0000056	HMDB:HMDB0000161	HMDB:HMDB0000271	HMDB:HMDB0001310	HMDB:HMDB0031219	HMDB:HMDB0062251
89.084063979	C4H11NO	HMDB:HMDB0032231
89.904703679	Zr	HMDB:HMDB0001475
89.987242425	C3H3ClO	HMDB:HMDB0060458	HMDB:HMDB0060516
89.995308552	C2H2O4	HMDB:HMDB0002329
90.013935504	C3H6OS	HMDB:HMDB0030025	HMDB:HMDB0031189	HMDB:HMDB0031636	HMDB:HMDB0031718	HMDB:HMDB0040346
90.031694058	C3H6O3	HMDB:HMDB0000190	HMDB:HMDB0000700	HMDB:HMDB0001051	HMDB:HMDB0001311	HMDB:HMDB0001882	HMDB:HMDB0029580	HMDB:HMDB0031232	HMDB:HMDB0041929	HMDB:HMDB0144295
90.042927441	C2H6N2O2	HMDB:HMDB0143050
90.05032101	C4H10S	HMDB:HMDB0031245	HMDB:HMDB0031322	HMDB:HMDB0031666	HMDB:HMDB0040576	HMDB:HMDB0061871
90.068079564	C4H10O2	HMDB:HMDB0003156	HMDB:HMDB0030061	HMDB:HMDB0031213	HMDB:HMDB0031320	HMDB:HMDB0033007
